南投縣,台中市,台北市,台南市,台東縣,嘉義市,嘉義縣,基隆市,宜蘭縣,屏東縣,彰化縣,新北市,新竹市,新竹縣,桃園市,花蓮縣,苗栗縣,雲林縣,高雄市
5360.042042479469,2929.816826293055,2455.969660929262,3217.4467959707913,7868.551124750078,3356.6981996011878,5330.488608134421,2229.3092333695827,3801.2644538864884,4523.469126897316,3916.612828892434,2737.23183417123,4862.066014928929,4326.574087603885,4273.852386144116,5258.502218389989,3955.9416947967766,3905.18841742113,2897.320971848458
3744.238270932872,2868.8451553155046,2389.199386237819,3089.55752063534,8263.503251785973,1411.477465872,6024.743655239267,2183.6772364792632,4124.259236203909,3939.7414752660334,3810.4015110817413,2762.8040116293323,4549.7401955293035,4873.542241927258,4316.361475480675,5235.672538556474,3829.1344033480827,2844.616595287402,3100.5206816518103
5233.458093036148,2938.320809889917,2222.301721244912,3088.85390935765,7954.852862667333,3163.5920559071747,6201.7346411351045,2212.9347662414243,4981.04783098843,4136.887487963432,3985.823540622624,2792.363994968831,4850.9882636063085,4269.331176210623,4373.168042491768,4391.801351406246,4473.64082366173,4407.43272390977,3043.8336928696954
4834.184609942027,2942.3043224397256,2309.4726758414977,3041.219903485472,7723.2627653647705,2730.78755401026,5735.041900228509,2199.396465496791,3235.6840322782487,4206.195215135711,4047.079087394475,2783.2768728092683,4613.0105838991385,4331.881352203555,4435.595994535635,4901.160103735439,4380.834763895263,4851.286431866295,3187.641304362489
5788.522086088486,2974.9378454192147,2391.471401732621,3401.133030669795,6616.600504160858,2238.0175528712894,5180.365778266406,2055.418507298896,4627.222164516913,4300.741066893753,4308.88578427679,2752.1278988341915,3975.13383933442,4581.4807589808615,4515.41825619909,4899.707012618494,3942.551024477064,3666.2993060919125,3282.3037864202643
4956.777131434552,2963.2913270926583,2294.9651514934126,3197.839865538423,6171.106283125687,2809.7083409509696,4938.769667766582,2032.9729060811312,4031.562833299049,3722.223737979365,3709.686811130139,2789.4742252132396,4616.715550680264,4703.548397632999,4369.391186699428,4434.73865058512,3997.6230029525623,4082.9070680615055,3057.207554910496
5417.109747590854,2989.7619443999156,2358.236352390289,3209.668465579746,9667.007550084105,2612.7274925287106,6307.404464106159,2483.9501947148333,4489.59379713317,4758.612781418641,4109.896769604322,2765.719273035297,4589.137564818787,4675.023818899059,4363.295504652682,4289.553251913454,4300.963688473539,4106.214519034668,3091.7412643564303
5000.0621023501135,2879.295417997216,2330.1041259622734,3038.0848457552297,7400.899973120986,3196.0180677106864,6327.653606661475,2340.65794628013,3249.3986975728403,4813.332330342596,4002.266573347395,2759.3096453249645,4420.363233800962,4853.502860226638,4376.123132169491,4806.835750502366,4411.501632621424,4140.771558511369,3052.1725481692483
5725.984971771962,2778.2107173868408,2393.57912541855,2948.52091342253,7903.075865583119,3219.9157954186876,6865.652013076429,2140.165245087208,4217.404142803701,4435.986955743866,4916.747750714149,2775.467935979746,4704.350349520833,4876.2415363261,4395.615560684632,5499.200812043489,3829.9996437370564,4204.241303306328,2977.8102212986687
5566.396674959703,2931.3128948497233,2359.589976229965,2936.144099146869,6625.501544956196,1053.9019496075673,5956.685773447792,2039.209673713529,5023.908064080094,4050.5583592519847,4073.4802311139815,2766.876632246814,4658.753716230922,4906.006200880405,4418.670895726038,5306.599548394037,3807.5241933701227,4123.753803655561,2987.0791885383614
5064.648574842412,3015.350500012888,2383.1348043125995,3201.486315376371,8157.919749083835,2589.7544101495523,6567.21395396146,2106.6410320175805,3312.927921878771,3778.5254369370864,4571.548953160174,2773.277472056229,4404.422987528513,5426.025874941756,4304.867116309302,5310.455748036962,3752.1698537940715,4146.104507229503,3106.4861368761462
5234.429287290608,2903.93949819576,2398.2758553212534,3185.8881115204604,7553.982750494164,3428.3545661997723,6765.003266524631,1928.3052186155458,4434.983201468971,4949.279496837218,4164.961514882444,2796.795483956926,4374.188871807174,4666.480723803026,4400.754472318276,6373.2341876457285,4228.77435590906,4794.690451422234,2817.5537505096468
4915.218882111008,2905.6611826344365,2357.5264342209557,3539.462249060824,8161.710219469356,4795.936587115789,4426.320597116587,2489.1776356483374,4342.5564865361885,4272.530126713363,4197.125466501393,2776.6913878775194,4876.879498312179,5148.194055000816,4382.243543306826,4744.437946785629,4049.0281612964122,3977.0194412206492,3039.5043549262177
5380.225557124069,2874.501701558798,2387.63413985579,3203.67778375705,7050.383247267441,1552.7998180092732,6850.874431236806,2365.1743957332988,4330.0965596829365,4260.069491913395,4104.794275053029,2792.1396182843055,4361.449131640812,4225.935580767671,4392.619405354316,4501.517840831609,4337.222809999815,5119.955298473305,3023.808122158156
5043.915433179629,2896.062875754063,2295.8846970988116,3157.2797419512376,5898.054872102237,3858.120274830094,6009.0898206016,2179.109224806786,4549.752765321501,4510.606285669147,4421.467610526349,2805.336453900829,4853.039598586572,4367.485345431749,4290.335836267659,4940.144593477653,3873.5986030404133,4052.459659632507,2984.5132584621556
5182.649600098716,2871.707065318403,2359.2503857556057,3159.076921916351,7654.26019429643,5333.711744765815,6343.486026185459,1984.8786251616243,4051.3294461474393,4022.6417039615294,4055.292495595699,2971.16145321788,4579.323757199464,5003.289709069757,4432.884982012899,3701.3708836604583,3727.79079868067,4481.473359080148,3053.5425938614085
5753.242030507597,2920.7471135445257,2267.7068238304128,3270.2399464567975,7965.785309076974,3081.9821783613393,5928.828806442249,2115.897128631634,4498.527743587939,4330.829836282547,4160.939039355485,2830.4827572381437,4606.009149878706,4786.628400925483,4408.519168015264,4965.827249802421,3981.1305780888947,3435.7096119448706,3163.2908698287133
5055.219687818088,2953.736590260941,2403.2363567502634,3349.603169978119,7818.2532773025705,2840.7757275193226,5653.135151106884,2269.3209866081806,3968.1026796410956,4510.105958148,4334.871679310001,2790.770053020648,4544.738911412691,4620.763683765894,4407.805284504602,5183.055171936595,4250.461881904194,4447.183959968891,3074.1769286584063
5148.369323394036,3018.314069724007,2333.0371859159286,3304.6136609435566,7855.538941798394,2856.873323089668,6071.393241097537,2506.69263011841,3477.2797778159315,5059.621075897632,3960.9735832888196,2794.2207403946245,4734.221669667792,4704.596444848268,4444.45901645482,5682.727202793588,3992.6424397366736,3456.162633537239,3024.320619735526
4994.1694513527555,2899.823335013302,2424.8366649678087,3037.6072911299543,7944.646093039723,-922.1440976329154,5985.020269875125,2630.396677017276,4865.389433284634,4562.127797790423,4194.729412571326,2775.3925063634074,4542.46691768033,5044.275496655408,4481.705393093953,4840.298159421096,3953.310641537169,3983.4915154218893,3080.8453987375324
4867.564401650422,2853.347516943574,2305.428331819034,3167.4060513571035,7126.021379740792,2791.0145665071223,5663.63077348232,2018.3352354018964,4837.758004608389,2842.9881772785266,3948.8473485240647,2779.8733540799503,4504.512271997982,4695.659684769742,4396.637828615102,5830.244664582762,4206.964017491684,4025.2292557463384,2992.2333859435093
4874.229392196213,2967.012433392701,2418.569504733969,2942.384809148023,4194.571943570785,3553.687247157663,5758.038493241406,1968.250595428142,4394.6021075839035,4044.6737706742165,4324.578322970498,2814.2391204871806,4527.34272202912,4593.828699518814,4368.05240461669,4390.7505904986065,4291.281676687321,4015.94089686891,3341.281222085475
5150.586887524572,2905.2090364376027,2369.9653738507714,3187.451961873543,8734.01439728202,3245.539224065732,6121.021457338061,1930.818744577698,4166.67792515222,4304.734181289238,4454.38834595028,2768.6463009450813,4316.968562894277,4789.955157955123,4344.124825119181,4578.377027932971,4034.956375344518,4288.731270655161,3077.7806232313665
5143.940881015758,2887.940214377156,2375.538633801882,3308.3071760024955,7627.751265217086,1156.9824598612058,5044.542820991109,2080.4291460626214,4476.738217766344,5000.402472947057,4221.835344882177,2790.192310631311,5037.51677287591,4525.534627769165,4385.0117116591955,4924.914658040786,4455.18397661886,3990.5320393077823,3170.5931378552186
4486.527066087696,2917.9100792945146,2326.79573919424,3196.7959389487496,6327.026329546392,2038.7208200974187,6125.992342408249,3094.2027054024943,3628.732882103065,4408.695478924954,3787.9336873901734,2723.380523541005,4599.253390020406,4721.346894601856,4410.184369386104,4954.481193038893,4223.463507830882,4160.76042737235,3020.435042653766
5076.130549196368,2887.364476514074,2326.6828402525807,3591.0103826472227,6414.459947363355,3660.3006849503176,5650.94729886019,2335.7607375664284,4244.075921613519,4224.7413361290355,4579.215026519373,2819.656732576896,4970.3110653510485,4730.388609309187,4611.367320872295,5090.014267851284,4007.4337169367354,4754.098883511063,3053.494230464709
4569.327104321329,2849.4884144375633,2348.6555539740584,3203.203632651743,8460.273200509682,3027.88096072757,4703.084610754508,2212.854459748696,3899.2786452982755,5212.203278254979,4021.763539424716,2773.590512717794,4377.374137587988,4722.11289668184,4399.80638417487,4160.359852199453,3932.9829656694824,4051.9805288194784,2862.784522110069
4990.190716396738,2985.40713821314,2297.3474490728577,3154.4812347632856,7663.697993254334,2184.1946840687783,5802.838766247095,2097.783470453097,4133.383599303438,4733.5585843093195,4183.410466874966,2694.5449371424656,4492.660608791901,4595.292852826984,4376.310907500878,5133.725695762557,4409.904322284398,5326.820043766844,3125.616395308183
4816.652091306888,2972.584877338893,2325.9944485367955,3116.2439250668353,9090.107262820167,2754.000751699289,6525.864578979697,2056.7340969542797,3948.115957902498,4167.191984071631,3979.4394802743086,2768.377283100004,4618.252126407923,4847.077301264565,4409.003356731344,4939.472743755662,4023.865511935056,4171.7583108196795,3149.8705480874482
5261.396626957664,2919.1187084598537,2415.319934093377,3179.8999277807143,8066.493404485368,1659.7287561641797,6457.992957545791,2001.2241226015842,3695.603301927111,4238.279350652929,4184.358693281692,2766.4521555624956,4693.204310403853,4741.005151154493,4475.036158208517,5136.0936421600245,4313.427520681048,4000.369697057913,2974.577940262546
5070.62881240985,2748.5696248535414,2320.7386766695445,3372.401657635321,10990.377913372058,2622.404546222348,5091.62379803793,1578.3791130373847,4537.247733918848,3742.6208070735556,4293.290513735022,2836.486850334811,4528.368677534345,4806.766580519715,4477.289347528048,5470.770278020945,4494.842103191449,4072.3647611623646,3083.5146286497916
5043.571225441814,2840.0167410552576,2303.0530504055278,3024.2099478888304,7957.359815140911,2349.2330725637044,4905.004023138626,2110.987226851609,4036.9964570192715,4242.057788780727,4069.303126780083,2753.7211253945698,4552.30503951032,5011.559466175895,4427.162924239065,5746.8834239589505,2927.477563657625,3805.305076834122,3080.05758220178
4755.908313526764,2925.053074101987,2494.975258456952,3160.552059341605,7159.572172271574,3522.6091238148065,5896.868465294471,2464.9754865050227,4150.381831805861,4287.116204783434,4426.55671377922,2779.290617557951,4477.661718105102,4682.935075938129,4361.779254690723,5227.327656014447,3856.7347807379087,4293.080534470691,3136.7389273745057
4972.735194602483,2984.9639853991125,2246.693608586756,3218.1273817972346,6186.229264235336,2980.9915444462486,6282.058545843116,2323.57205288087,4460.06007289339,4340.84183056056,4178.557054871855,2755.283800785419,4750.3777411731235,4811.27695327346,4358.032263691577,4856.157430123192,3582.864334945175,4211.458369763993,3111.5521209350823
4861.617605597776,2961.8895219441406,2407.201598613693,3486.193380959008,7691.972585521195,2807.3667473281853,6163.3585240797065,1484.1698345373943,3980.393524144721,4364.913395292769,4231.539272525006,2793.2191554742094,4582.850530685353,4526.944464781849,4441.248940995307,4646.062711965552,3837.507005889627,3721.149598403987,3222.434313174942
5005.808839931328,2970.521881712364,2373.425691744105,3168.4489348498714,8574.432348204406,3587.125434637693,6234.181781864895,1219.0012577540067,4013.1860262056025,4096.085241374815,4241.50438794433,2771.176590659187,4093.394675650922,4822.600336474294,4352.682960390727,3800.780636040923,3446.850187073799,3491.853856307494,3149.964721140484
5332.068062028883,2857.306590460017,2392.938069916485,3394.687791201325,6016.627545560306,2622.678011908873,5487.510391665832,1924.9744804393797,4311.886287746034,4578.969762559509,4201.437397575055,2822.24081090608,4133.997053571258,4611.047197717177,4474.964315776915,4788.546604411577,3933.7573566529622,4038.865488044473,2944.252485429081
5070.924384908567,2818.3552667716353,2363.6691071275063,3232.407992544631,7184.411649228347,2821.8167787314414,5326.755852025873,2078.5949793511204,4179.804665613932,4454.715256939475,4392.631992774382,2711.656912723761,4333.058201354929,5665.268990357412,4388.8110427798565,4756.092296141164,4268.654817745135,4113.111222866026,3101.902682560326
5722.350168765572,2799.4470346313738,2356.0372244595574,3322.928390296867,7632.005687677847,3766.7587246137473,5996.468379776245,2196.139019314744,5757.005282085373,4280.77772242307,4032.026241819707,2754.954626849365,4433.595627056293,5088.02793142207,4364.808555603432,5305.386655414884,4308.348562028217,3871.655890232696,3269.7485611680827
5044.63115876645,2898.891790863179,2299.025714063503,3342.535701419311,7843.511771114824,2827.0214520560835,5590.424168661859,2081.0975531578965,4327.682115539455,4187.009589441291,4232.398336434923,2789.8004186912544,4438.930418510685,4478.0547632741,4392.028482486793,5116.518007581566,4293.642753173792,4450.379151554865,3021.0180942414763
5696.401413865813,2878.350237953616,2368.2330721354847,3269.1748537444387,7830.6809030677805,5489.821420702563,5950.410495487722,2057.9708248360757,4169.596711706985,4660.366112052065,4222.921763639321,2835.5718633463684,4932.586980194639,4704.651396306311,4373.046347071473,4994.297753612034,3838.948479828335,4566.051771761466,3066.4139771792866
5129.245170998469,2914.8176039645173,2353.378165125231,3291.125105037664,7877.630938070909,2509.4587368479706,5426.35546476473,2163.0871958296,5594.981764628851,4074.7810065955946,4190.36670828115,2727.389800958083,4548.679395059839,4646.495782035297,4426.968839606905,4778.449728139275,3572.0405910742224,4009.0483550644894,2967.0843303164993
5130.048534251247,2899.068367081788,2249.088309410544,3048.2373935298056,6893.854104095887,3827.8510159028865,5586.246150237994,2534.919016996834,4160.435472678747,4301.596010667011,4338.763368491864,2779.114185487722,4550.058963902665,4627.501366896518,4490.160419432331,3801.1907254887037,4045.916767790616,4280.1016451592795,3109.968303993571
5172.2568840221165,2912.6482047987147,2364.490959213323,3161.481687745387,8432.628546097716,2771.489798631784,7249.33415684773,2746.623443273901,3699.1003963418852,4389.865022029703,4110.955352918563,2770.0160117699397,4907.369276648831,4641.292244638455,4386.753423969771,5976.443236116856,3863.0089436298435,4746.784474249007,3045.377765664242
5972.692995951863,2923.6676816747604,2357.044085639592,3081.144387668097,6707.312599302769,3391.904669016182,6880.387895275572,2729.6668142226963,3456.9860894932517,5274.558353387728,4587.918557741484,2782.431600424532,4643.0729248430625,4753.072189337393,4369.634681706005,5850.944316646862,3918.3559988390907,4286.297524258101,3078.067609602355
4900.788466475646,2815.3683106938256,2439.5584667533285,3258.45598443034,9190.572596437643,3067.8300539142633,5888.09390351308,1721.7639418059575,4085.1012904112986,3570.8043831764758,4245.361222248702,2727.646438364226,4771.808630442378,4449.831275552146,4445.991814832836,5431.480553368247,3811.439055703617,3392.0112006481877,3008.1980288560076
4744.952790334264,2888.7730596973215,2403.0542388799504,3463.9928049149867,7620.487394733188,2546.315733685606,5404.920916477954,1803.0188301496619,4187.259751387239,4214.450147883734,4375.271285562148,2788.458172983107,4581.178626563494,4632.496674035377,4380.041127419197,5383.820985486639,4479.654910590748,4056.9844184511926,3014.085544952662
5056.180940891421,2822.297847559508,2220.561040196275,3238.6507811781703,7787.2647594191285,2913.0250746906745,4784.388737038184,2157.3610092651525,4401.23245651591,4134.546438190474,4182.747596381213,2756.0426874251016,4514.514219480622,4725.981137753246,4395.515009543457,5092.5084132157735,4066.955867979047,4575.3429256925,3050.9410546702316
