南投縣,台中市,台北市,台南市,台東縣,嘉義市,嘉義縣,基隆市,宜蘭縣,屏東縣,彰化縣,新北市,新竹市,新竹縣,桃園市,花蓮縣,苗栗縣,雲林縣,高雄市
5128.746964651546,2891.1101401350165,2361.7250904948496,3212.5442540477625,7727.955112402501,2721.4375952191813,5825.8934359807245,2120.518251715945,4424.610873707138,4327.640836246349,4166.34011916827,2776.6723193342004,4523.034064707702,4781.757341879028,4388.647457753784,4977.337736610115,4036.2329280871945,4165.657095038932,3065.8772807020905
5093.468654922023,2907.7320240836953,2363.9256416507346,3213.4477640774567,7869.919502000236,2566.589492508167,5933.618489962735,2103.976656599903,4375.381158834456,4323.761166930271,4144.310588961161,2767.461018092895,4532.697282448611,4742.512344556214,4388.767234722104,4904.580644855315,4054.440764945167,4092.1640803681203,3070.3526106455492
4952.702234129773,2910.278977082769,2359.9093106559553,3201.312068796068,7825.817458529988,2609.072500144902,6048.385975467309,2169.377171845913,4225.2442661107525,4416.376978317698,4166.1702543828505,2765.135529559577,4629.570772185531,4787.519358103567,4400.368999947676,4961.007800210276,4021.4372526614,4070.0708352669435,3062.883491293665
5202.572161701886,2901.681656850764,2357.7523315166964,3190.5756228967225,7813.049294497925,2805.149035344043,5943.571984650083,2185.5852651154296,4403.7678360419495,4310.74136383217,4125.0212226537515,2772.67035255951,4547.025382382617,4755.811710102708,4397.255384169665,4889.490806380394,4017.990938545546,4089.5979486492315,3066.492206945788
5045.49739793658,2906.1430590216332,2361.715655588416,3178.4094336176836,7690.1598244032875,2637.554961816631,5862.325341199567,2169.6748292906027,4310.266791366203,4362.450614985111,4160.438633646304,2775.6475257958664,4599.866454686604,4732.355974191177,4398.3259963387045,4965.651562134786,4044.8324425082274,4015.4382026138665,3057.991552022783
5118.929566821798,2902.354415762485,2364.212415581987,3215.047184391207,7709.627339241569,2676.654259317735,5898.531410779157,2139.5967256751846,4343.6909609929935,4305.816435511226,4162.56126980078,2769.5624352483005,4525.742601151953,4760.558211285054,4395.6784484921445,4848.652399146656,3990.2478304663077,4179.585056377172,3068.0185429275693
4987.9798071194755,2916.149012465939,2375.0346617785417,3215.1723877740214,7590.471850909154,2774.8112752956085,5929.972161842233,2149.5010586892367,4331.233479827145,4253.435807145329,4110.8861161317245,2775.0363142500237,4532.411040292998,4780.00325451164,4391.0290328175215,4825.000731270882,3947.8239412221324,4085.189958584263,3066.954483995779
5121.299993970303,2907.102789539839,2361.030731644118,3205.7431072705394,7586.798757146157,2582.189626254667,6005.705297155796,2192.365526280206,4330.058387858376,4331.175776148965,4244.1264748848735,2765.5643859471743,4522.224228207148,4773.3571886548725,4416.1862776755725,4963.476811145469,4020.991486338173,4076.7436824792767,3056.6384711967353
5066.691429399398,2901.1961808243013,2367.170488593624,3201.517792810007,7831.109683465974,2827.68584203325,6095.693302845678,2156.5971859823694,4296.348813236917,4312.934956773443,4148.026013031004,2768.068880985452,4615.6565419894605,4779.682155729571,4393.222575943574,4915.925908685185,4083.781566731455,4064.5184293207676,3070.3294182815775
5055.5013537307395,2922.5961034505863,2379.042013575893,3165.732350495951,7697.283141637823,2905.231331911658,6085.280998628037,2254.558158678472,4320.627919720181,4329.860282013551,4151.3181416675425,2773.4706921997304,4544.5894155234755,4770.741196454425,4378.747680050192,4919.934109658439,3990.3748499896856,4129.743961351737,3070.1186087258343
5126.06476376082,2906.9175835457245,2364.221414979075,3205.7501439509774,7776.107459415445,2720.149327090126,5978.540132148043,2212.1780498219446,4360.552298487663,4314.282989658914,4164.9198480380555,2768.2465819991594,4521.836517380776,4832.698579300107,4382.13501465142,4934.477506504353,4044.257887526828,4220.833858890144,3076.44756518123
5066.859071381894,2922.585020546995,2379.3894478375983,3220.297450549481,7817.798415903099,2919.185404173212,6035.835250509025,2175.922460371298,4316.985857346824,4340.3817131507,4106.390349913058,2768.369716079736,4526.0823571072115,4758.650889863832,4374.257224035748,5027.318922872668,4029.735634521976,4106.483128540796,3076.8841142125802
5073.776742101361,2915.6265420859722,2360.4278338366016,3208.1783186492403,7717.762174340044,2646.1348334947843,6045.8010449090625,2160.435778007769,4335.021444291179,4242.589266185969,4202.374082502262,2777.1400664190046,4535.767006925448,4796.17542566369,4398.569369283761,4839.889620674463,4000.44853092444,4179.674067203848,3073.878295780288
