南投縣,台中市,台北市,台南市,台東縣,嘉義市,嘉義縣,基隆市,宜蘭縣,屏東縣,彰化縣,新北市,新竹市,新竹縣,桃園市,花蓮縣,苗栗縣,雲林縣,高雄市
5030.598112441755,2899.5874433312797,2361.4697847335133,3200.6962680394204,7790.096291116411,2689.897059548542,5990.921623135526,2142.5372277377646,4323.238298027626,4312.118684122724,4160.673214942603,2771.594212204567,4517.009995935043,4771.171469428648,4390.488582148618,4930.880341164451,4010.2362217858126,4089.7378964299264,3065.438114419184
5075.855628574592,2908.6492407593964,2362.130669897476,3200.6195726318815,7811.667482737947,2719.6609174929554,5974.695867802875,2170.251071584345,4307.672346317998,4303.060776859216,4174.872240134037,2771.801301558787,4525.917104373639,4777.36777001577,4388.926340088662,4942.055277423428,4010.8675181090284,4097.056881441243,3059.9450476836596
5061.945724709839,2907.6684526903405,2361.866883821501,3203.2451902660837,7779.323192618798,2724.9848029762798,5986.026314865469,2107.7587496229926,4321.306424089417,4293.243993164406,4171.345163060916,2771.2878353876927,4511.51773419405,4767.536827918841,4390.880048062034,4936.620275328695,4014.9090871014273,4135.921196146243,3065.685941649559
5048.492376839238,2905.456870783829,2363.3487240801737,3203.7739596815845,7793.522063518874,2730.018900490099,5977.583838606434,2158.0250377293955,4328.90347522151,4303.492922988379,4178.25325990401,2772.5105000601457,4531.007990424704,4775.555368045109,4388.138310988255,4952.706147143549,4004.1244510528277,4073.988338139661,3064.5004997072965
5134.001576126168,2907.946696038227,2361.234258303107,3201.3120542785864,7812.794496297911,2717.099114122462,5978.352528531616,2155.396731607567,4338.586033186322,4299.532129414231,4177.070501113726,2771.9342618713536,4529.515993304052,4776.950255604795,4391.428592673664,4926.209417198578,4015.6380862309074,4090.319578471159,3064.6509681433454
5052.549457734873,2906.126288600638,2362.2016962937278,3205.8439191487896,7773.881978052986,2710.2198164057295,5979.895429705597,2142.3148700498928,4329.184258432033,4307.269184558371,4171.731965887348,2771.770015541842,4523.096272353327,4783.7322844606615,4393.303185764609,4942.696167829782,3992.497897529933,4098.814672193457,3065.3776009435555
5068.010656751506,2915.5947151441965,2360.9570425052293,3206.9179674516054,7781.272051467337,2713.8409250197483,5963.629848958653,2152.7615450786852,4337.1025098805,4306.801022738389,4157.710129451601,2772.042707179792,4525.286872275502,4771.086198310917,4390.982171561242,4919.896651998417,4006.9104118523755,4099.1841591994125,3064.137865527613
5064.638457110799,2907.838144023874,2361.3913970076615,3197.7892385581176,7809.492899194786,2731.11496606351,5923.289815515649,2159.186547311853,4325.501544103372,4291.357891548776,4167.389738475969,2770.89921667294,4526.325885562285,4765.239957208529,4391.511228191276,4955.33207211983,4010.6877321569755,4127.12859734574,3069.3732742093225
5049.366225899194,2907.13062837851,2360.199877209154,3203.569253637665,7825.683193260052,2706.497954927808,6001.2972606222775,2154.9338818655324,4323.527269439849,4304.757961714551,4160.923412276168,2771.436268870222,4529.958202236382,4777.759088953935,4391.43079608084,4947.12828143992,4021.501500961937,4085.8047724785924,3064.3827575036667
5082.203769759429,2903.585157840919,2363.035453397311,3202.985100229802,7756.98207931933,2695.778189934814,5969.246828367584,2158.091714861097,4330.939408954876,4294.772173425797,4169.4230499136675,2771.819620378573,4528.895131138163,4781.707081972093,4392.343767751526,4925.104553302974,3988.751554732257,4118.560802530252,3062.9966576535057
