南投縣,台中市,台北市,台南市,台東縣,嘉義市,嘉義縣,基隆市,宜蘭縣,屏東縣,彰化縣,新北市,新竹市,新竹縣,桃園市,花蓮縣,苗栗縣,雲林縣,高雄市
-38176.244034008945,3689.592699770379,3056.3150931662794,1938.8624380601168,6027.661703302951,7417.683403557754,-2272.088689502788,14303.540907296456,-243.29005124943342,1827.7018410959804,4026.3894677393346,3434.1325497489142,-5940.813633040152,9734.730257227664,5386.729265142394,5810.384153874964,33336.1279029675,-3970.9459633684387,4468.331932020246
633.1522412911781,9082.901943166959,1207.516018593401,5511.9917944146255,-15942.759580671434,27915.654328555636,-31444.853681707802,-458.0169502734052,-14566.168451709542,-12462.659422857494,9081.024530137536,2604.9959472551313,10342.412981094152,-13295.664926835769,3853.0342507687164,-23932.687078938183,3432.83685454754,15085.106361774515,4897.07792559454
7913.3545462563225,2980.453755483626,2106.407676229208,1901.9156544780249,1979.3038744117766,37371.22783924585,27216.993400644365,2659.5261049518954,479.5171123196533,16514.18194719657,9342.463250381199,3357.5244027979793,29044.29317305331,7089.935535945471,6706.8032019827515,6571.951355668794,-39995.76148601742,26890.32400050086,2337.533556506085
6498.801892380857,2017.5575277433272,2881.5579936040676,-3012.4854157640384,23319.1805738023,-5651.042879609202,-3890.6147398792864,14685.992939134063,9874.893976281262,-883.7425700662398,18786.73905016036,3045.7633049379524,4104.239352615112,-4442.905091697903,4889.77090800353,21073.623443224336,-48.7501204870041,20558.79038792494,2827.11740471954
2780.081205576411,3945.741038521785,961.7807418712578,4635.835460362265,30179.438811103344,18521.615255435594,26109.875960943104,1184.0886677723574,19648.956572776606,-1300.2451957511057,-6816.837766727692,2422.0429736757474,6498.82255737113,3801.9773658415547,-1403.3559137947805,-33462.72165918353,1622.0011044137163,-2819.563202163669,3495.7376921365217
14763.974203502556,1841.9967518760564,1844.388414480481,5141.714920710388,26411.910168882754,11542.423862507654,-62632.776159665555,-3349.2806340016855,24202.79594633836,1024.6932339599084,2244.925905657333,2800.7958895453426,22901.995372867943,13173.56974565041,3610.4147018795766,3153.0862500664807,6479.0695719779515,7299.469068699035,1889.1091313381978
-10439.43580723938,3674.0125934138578,5922.932718327724,3047.7165436261394,21603.22320701726,-12464.38574839729,-7991.384237882138,564.8514725323328,673.2873055902714,-774.7445365598105,-119.692115649269,3123.489239586222,-3838.734199834922,6597.32455046292,4780.835437758658,10021.104777326582,8910.057923437067,3587.1127404109634,5646.655754943467
604.408953715415,-1703.5114919821717,2527.759016710657,4344.782648095625,17710.998105216157,2377.3350430629685,-5170.660358100046,-8629.471234693268,24465.629454236205,14219.223001632181,6912.595688908286,2275.4463467855235,-16624.7648937363,-26641.442248025916,4553.478592462464,14830.314652976776,-2398.709866034865,8015.652390173598,2111.7157883904665
19738.849739391193,61.26500238985773,3802.9342505278687,5729.710052985358,-13871.698872785939,-12896.188859678687,11020.115211674876,5580.496888380698,16909.898199435796,14360.396302873294,4370.152006482791,4108.835392743114,657.8989817372626,8367.030799945747,5294.709561721478,-14119.726001108193,5403.654463784289,2024.995608942871,336.21561062505
-36332.92891054214,2675.7328790695433,-693.4687565438544,-7436.217526479117,37590.63718283993,27814.827714505846,4184.889820305536,506.6278194728004,966.2938872061641,7600.877819545032,2446.5707671877535,3713.7376802866856,1744.7921875070147,10002.091711977751,5931.233899068864,7039.550095494265,-250.9618388263757,1666.57263065274,-153.40935231390313
5181.725045166324,4194.026272444877,1059.7725999248416,2989.7520004070184,35434.30889658225,-803.5152075151759,-11041.805847662788,-5654.052958801527,4113.724107944857,24663.90683481454,3895.562276255175,4148.091027168421,-2414.536682387393,6468.359336098704,3187.3462928353474,2299.700052456257,2162.8226262151566,4386.3289507691015,1686.652588591608
17900.19203815015,2870.7172354529207,3019.1871043220954,5647.564503901145,-51253.408765814835,-13795.279599603804,8558.560455373714,-39556.89644798749,-300.10775091046435,11883.629560098041,14697.73464368943,3098.0679632775136,-684.4336742728956,-12860.561696967208,6834.717374484235,33994.7115081845,-20055.673617369193,6599.1780534518375,6910.70038243073
8991.345251837407,1566.8158399991478,3093.731772487032,-1337.8109735673434,-31397.4745179221,-243.9754984718561,21121.90655186731,-8732.450323682126,-288.52167463054593,6157.516712900348,7668.199069965455,266.4425134675289,-494.8185369437824,11507.311486223236,6408.898209808418,-9837.95036161444,-5277.83083582134,-9241.246436025123,-2386.342861167448
4683.811648804034,1823.4391248404415,-121.67581466480442,6772.754102886662,1127.679790689902,15394.531944562119,-15179.09374516163,-4528.327478248906,8334.950892120405,4387.918365899377,4444.604980140923,2780.777572305421,5502.812784218765,4418.160486335033,4011.076684564174,23329.671258128055,7622.034312142967,12255.340694613751,135.09146467406754
-22913.456236946447,3593.633891813778,2496.1218188935873,4627.190800438958,7214.9808319004505,28200.06222142726,-17969.38565247249,12534.951963219026,-7249.682497089479,1002.7176154348313,2857.8571662513987,2039.4063491774536,5452.235538478849,2755.6304094398474,4082.058966648965,17935.95602017053,-2753.654835013848,-48003.2192595843,3566.8086309282508
-16988.172109596977,2509.8245921255175,2147.6777236545495,4923.909682516092,5373.415786111549,-15184.857505699227,8465.97745142892,-7424.441024870717,-23416.092576720424,5062.724281593216,4960.570896862595,2980.897160014597,8498.379405704918,8978.799893241308,4735.495831265776,16365.850544067356,-1521.1067774498356,-20043.324916980724,4389.048705747371
